task_id,arrival_time,execution_time,deadline,resource_requirements
0,0,15,50,3
1,2,10,40,1
2,5,20,60,2
3,8,18,50,3
4,10,12,35,2
5,15,8,35,1
6,18,25,70,4
7,20,14,45,3
8,22,16,55,2
9,25,22,65,3
10,28,11,50,2
11,30,19,60,1
12,32,13,55,3
13,35,9,50,2
14,38,17,65,2
15,40,21,80,3
16,42,14,65,1
17,45,18,75,2
18,48,15,70,3
19,50,10,70,2
20,52,23,85,3
21,55,12,80,1
22,58,19,90,2
23,60,16,85,3
24,62,14,90,2
25,65,22,100,3
26,68,13,95,1
27,70,17,100,2
28,72,20,110,3
29,75,11,95,1
30,78,24,120,3
31,80,15,110,2
32,82,18,115,2
33,85,12,110,1
34,88,21,120,3
35,90,16,120,2
36,92,19,125,3
37,95,14,120,1
38,98,22,130,2
39,100,17,130,3
40,105,13,140,2
41,108,20,150,1
42,110,15,140,3
43,115,25,160,2
44,118,18,155,3
45,120,14,150,2
46,125,23,165,3
47,128,16,160,1
48,130,19,170,2
49,135,15,175,3
