task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
26,1,42,84,5,8,1,10
33,4,5,68,1,1,10,2
43,4,13,53,1,6,5,10
10,9,47,84,4,5,10,2
1,11,31,123,1,4,8,2
20,13,12,146,5,1,1,2
19,14,21,209,5,10,5,10
11,16,11,189,2,6,2,7
31,17,20,145,4,2,8,2
36,17,23,164,5,4,10,3
4,18,18,132,5,1,1,4
7,18,31,67,5,8,1,10
2,26,34,71,1,8,1,7
40,28,21,75,5,7,8,5
28,30,7,183,2,7,3,6
42,31,47,180,2,7,3,9
49,33,50,208,2,10,3,9
25,35,28,128,3,5,5,7
6,38,49,134,3,4,1,5
3,39,39,191,3,2,5,7
13,43,14,83,4,2,2,2
12,45,8,116,1,8,9,4
27,47,25,229,3,6,3,10
32,49,13,207,4,4,9,6
48,51,13,154,4,10,9,8
9,57,41,165,5,4,7,6
29,58,45,243,5,8,2,1
35,58,11,100,4,1,3,1
17,59,9,258,4,9,1,7
38,59,45,185,3,3,10,8
14,60,28,224,4,9,5,1
24,61,48,126,3,1,2,3
44,64,15,156,3,6,8,3
8,69,35,126,3,5,9,6
18,70,7,125,5,3,2,5
46,70,18,152,5,3,10,10
37,71,29,185,4,8,10,5
22,72,26,156,5,4,3,6
23,72,26,228,1,7,4,10
5,73,28,249,1,8,3,4
50,73,20,165,1,6,7,9
16,75,28,180,4,8,10,8
47,76,45,232,5,5,3,4
30,80,5,117,1,2,7,6
21,85,35,266,3,1,2,1
39,88,16,283,3,8,8,4
41,88,43,239,1,7,4,2
45,92,48,282,5,2,2,3
34,96,13,231,3,1,7,3
15,99,11,156,5,8,3,9
