task_id,resource_id,start_time,finish_time
89,0,0,11
51,2,0,24
8,1,6,39
48,0,11,57
27,1,39,89
91,2,45,68
1,0,57,78
49,2,68,107
64,0,78,83
94,0,83,105
71,1,89,129
24,0,105,127
92,2,107,138
80,0,127,170
93,1,129,160
70,2,138,176
12,1,160,184
62,0,170,214
53,2,176,218
95,1,184,212
25,0,214,234
10,0,234,267
19,0,267,308
60,0,308,320
28,0,320,360
56,0,360,372
30,0,372,417
44,0,417,466
57,0,466,481
67,0,481,512
85,0,512,551
32,0,551,557
61,0,557,581
31,0,581,613
84,0,613,649
22,0,649,672
38,0,672,712
35,0,712,756
41,0,756,769
23,0,769,817
50,0,817,826
45,0,826,847
36,0,847,893
13,0,893,921
14,0,921,937
55,0,937,956
2,0,956,981
40,0,981,991
6,0,991,1031
15,0,1031,1078
43,0,1078,1119
46,0,1119,1147
47,0,1147,1166
82,0,1166,1213
11,0,1213,1259
81,0,1259,1267
98,0,1267,1313
78,0,1313,1338
37,0,1338,1372
4,0,1372,1401
74,0,1401,1419
17,0,1419,1452
42,0,1452,1486
20,0,1486,1529
88,0,1529,1555
18,0,1555,1582
76,0,1582,1618
39,0,1618,1637
68,0,1637,1655
29,0,1655,1680
5,0,1680,1700
21,0,1700,1733
99,0,1733,1768
34,0,1768,1790
26,0,1790,1799
65,0,1799,1833
7,0,1833,1838
52,0,1838,1852
96,0,1852,1869
100,0,1869,1909
69,0,1909,1932
63,0,1932,1960
79,0,1960,2004
72,0,2004,2044
77,0,2044,2076
86,0,2076,2096
3,0,2096,2124
83,0,2124,2160
87,0,2160,2207
9,0,2207,2238
58,0,2238,2281
33,0,2281,2325
66,0,2325,2371
73,0,2371,2398
90,0,2398,2432
16,0,2432,2471
97,0,2471,2507
75,0,2507,2512
59,0,2512,2538
54,0,2538,2570
