task_id,resource_id,start_time,finish_time
26,0,1,43
33,1,4,9
43,2,4,17
10,3,9,56
1,4,11,42
20,1,13,25
19,2,17,38
11,1,25,36
31,1,36,56
36,2,38,61
4,4,42,60
7,0,43,74
2,1,56,90
40,3,56,77
28,4,60,67
42,2,61,108
49,4,67,117
25,0,74,102
6,3,77,126
3,1,90,129
13,0,102,116
12,2,108,116
27,0,116,141
32,2,116,129
48,4,117,130
9,3,126,167
29,1,129,174
35,2,129,140
17,4,130,139
38,4,139,184
14,2,140,168
24,0,141,189
44,3,167,182
8,2,168,203
18,1,174,181
46,1,181,199
37,3,182,211
22,4,184,210
23,0,189,215
5,1,199,227
50,2,203,223
16,4,210,238
47,3,211,256
30,0,215,220
21,0,220,255
39,2,223,239
41,1,227,270
45,4,238,286
34,2,239,252
15,2,252,263
