task_id,resource_id,start_time,finish_time
634,1,1,21
562,4,5,21
193,2,6,23
856,3,9,25
466,4,21,26
959,1,21,37
52,2,23,30
756,0,24,47
994,3,25,32
651,4,26,39
61,2,30,44
21,3,32,63
242,1,37,53
810,4,39,48
652,2,44,70
393,0,47,54
827,4,48,76
821,1,53,65
437,0,54,102
484,3,63,113
58,1,65,71
576,2,70,81
273,1,71,78
304,4,76,108
67,1,78,88
718,2,81,97
667,1,88,122
862,2,97,103
691,0,102,115
974,2,103,134
494,4,108,123
977,3,113,124
354,0,115,134
686,1,122,129
105,4,123,137
377,3,124,163
225,1,129,140
186,2,134,148
750,0,134,141
682,4,137,153
991,1,140,147
248,0,141,180
621,1,147,194
322,2,148,156
597,4,153,176
786,2,156,199
323,3,163,182
760,4,176,191
346,0,180,221
453,3,182,220
713,4,191,213
950,1,194,208
199,2,199,205
235,2,205,220
480,1,208,220
608,4,213,222
40,2,220,237
338,3,220,247
880,1,220,247
803,0,221,243
431,4,222,230
1,4,230,240
850,2,237,266
305,4,240,248
538,0,243,253
62,3,247,258
937,1,247,252
433,4,248,265
208,1,252,266
788,0,253,271
297,3,258,267
158,4,265,282
721,2,266,274
249,1,266,276
270,3,267,273
197,0,271,278
107,3,273,282
954,2,274,293
990,1,276,294
792,0,278,283
843,3,282,289
375,4,282,289
951,0,283,292
11,3,289,331
347,4,289,300
455,0,292,331
551,2,293,309
613,1,294,299
90,1,299,312
491,4,300,307
436,4,307,331
745,2,309,337
214,1,312,317
889,1,317,354
748,0,331,364
53,3,331,343
254,4,331,347
425,2,337,349
64,3,343,353
554,4,347,366
975,2,349,368
698,3,353,380
574,1,354,371
967,0,364,400
969,4,366,378
656,2,368,376
78,1,371,384
530,2,376,386
848,4,378,408
427,3,380,411
831,1,384,403
531,2,386,415
116,0,400,419
655,1,403,437
579,4,408,417
145,3,411,426
739,2,415,439
348,4,417,446
670,0,419,429
648,3,426,442
256,0,429,442
46,1,437,460
457,2,439,482
131,0,442,457
816,3,442,462
483,4,446,462
159,0,457,474
747,1,460,475
96,3,462,485
804,4,462,471
72,4,471,493
250,0,474,504
3,1,475,494
292,2,482,495
706,3,485,507
909,4,493,510
690,1,494,525
779,2,495,528
236,0,504,511
510,3,507,540
449,4,510,545
657,0,511,533
26,1,525,562
689,2,528,538
949,0,533,574
319,2,538,550
839,3,540,550
4,4,545,571
724,2,550,567
857,3,550,568
318,1,562,573
223,2,567,585
785,3,568,576
315,4,571,586
295,1,573,601
372,0,574,604
139,3,576,587
498,2,585,607
434,4,586,619
269,3,587,597
697,3,597,612
210,1,601,607
883,0,604,621
615,2,607,615
194,1,607,613
75,3,612,650
963,1,613,640
584,2,615,658
529,4,619,628
594,0,621,626
882,0,626,656
299,4,628,644
169,1,640,654
84,4,644,681
517,3,650,659
717,1,654,672
709,0,656,663
677,2,658,675
590,3,659,669
766,0,663,684
830,3,669,693
675,1,672,677
148,2,675,683
683,1,677,706
313,4,681,692
125,2,683,688
8,0,684,700
587,2,688,706
100,4,692,704
905,3,693,719
417,0,700,732
653,4,704,742
44,2,706,722
298,1,706,726
820,3,719,750
932,2,722,768
70,1,726,742
352,0,732,745
493,4,742,748
271,1,742,748
209,0,745,761
807,4,748,755
564,1,748,754
965,3,750,762
487,1,754,759
365,4,755,765
109,1,759,769
251,0,761,789
732,3,762,804
445,4,765,771
76,2,768,783
279,1,769,787
404,4,771,779
65,4,779,794
241,2,783,799
124,1,787,797
794,0,789,812
205,4,794,808
473,1,797,814
825,2,799,837
9,3,804,818
429,4,808,833
913,0,812,858
259,1,814,832
397,3,818,829
204,3,829,841
626,1,832,841
151,4,833,859
