task_id,resource_id,start_time,finish_time
48,1,2,48
62,2,10,54
19,0,14,55
84,1,48,84
82,2,54,101
96,0,74,91
4,1,84,113
72,0,91,131
77,2,101,133
10,1,113,146
79,0,131,175
58,2,133,176
73,1,146,173
44,1,173,222
93,0,175,206
89,2,176,187
95,2,187,215
97,0,206,242
38,2,215,255
86,1,222,242
70,0,242,280
32,1,242,248
40,1,248,258
87,2,255,302
26,1,258,267
29,1,267,292
54,0,280,312
9,1,292,323
49,2,302,341
43,0,312,353
12,1,323,347
59,2,341,367
1,1,347,368
85,0,353,392
28,2,367,407
57,1,368,383
34,1,383,405
50,0,392,401
56,0,401,413
91,1,405,428
23,2,407,455
35,0,413,457
81,1,428,436
74,1,436,454
15,1,454,501
64,2,455,460
52,0,457,471
67,2,460,491
45,0,471,492
68,2,491,509
55,0,492,511
90,1,501,535
78,2,509,534
46,0,511,539
5,2,534,554
21,1,535,568
13,0,539,567
2,2,554,579
42,0,567,601
41,1,568,581
11,2,579,625
92,1,581,612
27,0,601,651
63,1,612,640
80,2,625,668
25,1,640,660
33,0,651,695
66,1,660,706
53,2,668,710
8,0,695,728
6,1,706,746
30,2,710,755
83,0,728,764
17,1,746,779
75,2,755,760
65,2,760,794
88,0,764,790
71,1,779,819
36,0,790,836
51,2,794,818
3,2,818,846
37,1,819,853
69,0,836,859
39,2,846,865
47,1,853,872
24,0,859,881
14,2,865,881
31,1,872,904
18,0,881,908
60,2,881,893
20,2,893,936
7,1,904,909
98,0,908,954
100,1,909,949
99,1,949,984
16,0,954,993
61,1,984,1008
76,0,993,1029
22,1,1008,1031
94,0,1029,1051
